,wifi_a,wifi_b,count,distance,meanTime,maxSpeed
6,120.0,88.0,2.0,115.57,559.5,9.630833333333333
7,120.0,95.0,1.0,73.6,2.0,36.8
8,32.0,88.0,2.0,140.16,682.5,28.032
9,88.0,22.0,2.0,202.54,358.0,405.08
10,32.0,5.0,4.0,48.84,15135.75,0.028831168831168832
11,32.0,99.0,2.0,27.73,123.5,2.520909090909091
0,80412.0,5.0,4.0,80.82,16290.25,20.205
0,40860.0,49.0,4.0,56.43,533.25,112.86
1,40860.0,5.0,2.0,69.75,6.5,17.4375
2,40860.0,33.0,2.0,142.83,34470.5,4.328181818181818
0,80412.0,5.0,2.0,80.82,2.0,80.82
0,95.0,5.0,9.0,39.38,750.6666666666666,9.845
1,5.0,84.0,2.0,58.5,52.0,2.7857142857142856
2,5.0,88.0,7.0,91.38,1700.5714285714287,18.276
3,88.0,95.0,2.0,53.3,17.0,3.33125
4,5.0,22.0,3.0,121.22,209.33333333333334,40.406666666666666
5,22.0,88.0,1.0,202.54,1.0,202.54
0,41519.0,101.0,2.0,81.85,6.5,20.4625
1,41519.0,83198.0,15.0,38.48,3665.0666666666666,76.96
2,41519.0,84545.0,4.0,28.86,16.75,3.6075
3,84545.0,83198.0,16.0,43.68,26.375,43.68
4,83198.0,96.0,5.0,242.46,100.4,242.46
5,96.0,84545.0,1.0,200.0,129.0,1.550387596899225
6,83198.0,120.0,10.0,24.45,1.5,48.9
7,120.0,84545.0,1.0,47.13,127.0,0.3711023622047244
8,120.0,41519.0,1.0,55.67,2.0,27.835
0,95.0,84.0,2.0,76.73,26.0,15.346
1,84.0,15246.0,4.0,53.1,6.25,17.7
2,95.0,15246.0,2.0,63.73,1683.0,12.745999999999999
3,15246.0,22.0,1.0,102.83,2.0,51.415
4,22.0,84.0,1.0,146.05,1.0,146.05
5,84.0,88.0,1.0,126.06,1.0,126.06
6,88.0,95.0,1.0,53.3,4.0,13.325
7,15246.0,99.0,1.0,38.53,27111.0,0.0014211943491571686
8,99.0,22.0,1.0,64.39,6511.0,0.009889417908155429
0,40860.0,95.0,1.0,82.73,340.0,0.24332352941176472
1,95.0,5.0,1.0,39.38,3.0,13.126666666666667
0,49955.0,26129.0,20.0,53.04,10.35,106.08
1,49955.0,32.0,6.0,32.47,9.333333333333334,32.47
2,49955.0,3345.0,15.0,34.23,379.46666666666664,68.46
3,49955.0,33.0,1.0,101.1,8.0,12.6375
4,33.0,3345.0,1.0,86.46,2.0,43.23
0,95.0,88.0,2.0,53.3,13.0,10.66
1,95.0,13.0,1.0,76.05,5.0,15.209999999999999
2,13.0,33.0,1.0,223.7,62.0,3.608064516129032
3,33.0,22.0,3.0,24.53,6.0,4.906000000000001
4,22.0,5.0,1.0,121.22,7.0,17.31714285714286
5,5.0,33.0,1.0,114.67,1.0,114.67
6,33.0,32.0,1.0,74.92,78.0,0.9605128205128205
0,66.0,96.0,2.0,64.72,6.5,21.573333333333334
1,66.0,33.0,1.0,211.28,15.0,14.085333333333333
2,33.0,22.0,1.0,24.53,6.0,4.088333333333334
3,22.0,5.0,2.0,121.22,6.5,30.305
4,22.0,95.0,1.0,157.9,6.0,26.316666666666666
5,95.0,33.0,1.0,153.3,1.0,153.3
6,33.0,88.0,1.0,201.51,7.0,28.787142857142857
7,88.0,95.0,1.0,53.3,5.0,10.66
8,95.0,5.0,1.0,39.38,3.0,13.126666666666667
9,5.0,13.0,1.0,114.24,1.0,114.24
0,13.0,88.0,3.0,22.87,6.0,4.574
1,88.0,95.0,2.0,53.3,5.5,10.66
