m,trajs
"7.6-204,129,42,183,42,73+42","[[789, 0], [789, 3], [788, 0], [788, 3], [787, 2], [747, 0], [747, 2], [707, 3], [706, 0], [706, 2], [666, 3], [665, 0], [665, 3], [664, 0], [664, 2], [624, 3], [623, 0], [623, 0], [623, 3], [622, 2], [582, 0], [582, 3], [581, 2], [541, 0], [541, 0], [541, 2], [501, 4], [502, 2], [462, 0], [462, 3], [461, 0], [461, 3], [460, 0], [460, 2]]"
"7.6-204,129,42,183,42,73+43","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1]]"
"7.6-204,129,42,183,42,73+44","[[499, 0], [499, 4], [500, 4], [501, 1], [541, 0], [541, 4], [542, 1], [582, 0], [582, 4], [583, 1], [623, 0], [623, 0], [623, 1], [663, 4], [664, 0], [664, 4], [665, 0], [665, 4], [666, 1], [706, 0], [706, 1], [746, 4], [747, 0], [747, 1], [787, 4], [788, 0], [788, 4], [789, 0]]"
"7.6-204,129,42,183,42,73+45","[[789, 0], [789, 3], [788, 0], [788, 3], [787, 2], [747, 0], [747, 1], [787, 3], [786, 0], [786, 3], [785, 0], [785, 0], [785, 3], [784, 0], [784, 0], [784, 3], [783, 2]]"
"7.6-204,129,42,183,42,73+46","[[743, 0], [743, 2], [703, 0], [703, 2], [663, 0], [663, 2], [623, 0], [623, 0], [623, 2], [583, 3], [582, 0], [582, 2], [542, 3], [541, 0], [541, 0], [541, 2], [501, 2], [461, 4], [462, 0], [462, 3], [461, 0], [461, 3], [460, 0], [460, 2]]"
"7.6-204,129,42,183,42,73+47","[[420, 1], [460, 0], [460, 4], [461, 0], [461, 4], [462, 0], [462, 1], [502, 3], [501, 1], [541, 0], [541, 0], [541, 4], [542, 1], [582, 0], [582, 1], [622, 4], [623, 0]]"
"7.6-204,129,42,183,42,73+48","[[623, 0], [623, 2], [583, 3], [582, 0], [582, 3], [581, 2], [541, 0], [541, 3], [540, 2], [500, 3], [499, 0]]"
"7.6-204,129,42,183,42,73+49","[[499, 0], [499, 4], [500, 4], [501, 1], [541, 0], [541, 1], [581, 4], [582, 0], [582, 4], [583, 1], [623, 0], [623, 0], [623, 1], [663, 4], [664, 0], [664, 4], [665, 0], [665, 1], [705, 4], [706, 0], [706, 1], [746, 4], [747, 0], [747, 1], [787, 4], [788, 0], [788, 4], [789, 0], [789, 1], [829, 4], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0]]"
"7.6-204,129,42,183,42,73+50","[[834, 0], [834, 3]]"
"7.6-204,129,42,183,42,73+51","[[833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0]]"
"7.6-204,129,42,183,42,73+52","[[789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4]]"
"7.6-204,129,42,183,42,73+54","[[832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3]]"
"7.6-204,129,42,183,42,73+55","[[788, 4], [789, 0], [789, 1], [829, 4], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4], [877, 0], [877, 4], [878, 0], [878, 4]]"
"7.6-204,129,42,183,42,73+56","[[879, 3], [878, 0], [878, 3], [877, 0], [877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3]]"
"7.6-204,129,42,183,42,73+57","[[788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-204,129,42,183,42,73+58","[[877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3]]"
"7.6-204,129,42,183,42,73+59","[[788, 4], [789, 0]]"
"7.6-204,129,42,183,42,73+60","[[789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-204,129,42,183,42,73+61","[[877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0]]"
"7.6-204,129,42,183,42,73+62","[[789, 0], [789, 1], [829, 4], [830, 0], [830, 4], [831, 4]]"
"7.6-48,74,38,133,29,213+1","[[832, 3], [831, 3], [830, 0], [830, 1]]"
"7.6-48,74,38,133,29,213+2","[[870, 0], [870, 0], [870, 0], [870, 2], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 1], [914, 0], [914, 1], [954, 0], [954, 0], [954, 3], [953, 0], [953, 1], [993, 0], [993, 1], [1033, 0], [1033, 2], [993, 3], [992, 0], [992, 0], [992, 1], [1032, 0], [1032, 3], [1031, 0], [1031, 0], [1031, 1]]"
"7.6-48,74,38,133,29,213+3","[[1071, 2], [1031, 0], [1031, 0], [1031, 4], [1032, 0], [1032, 2], [992, 0], [992, 0], [992, 1], [1032, 4], [1033, 0], [1033, 2], [993, 0], [993, 2], [953, 0], [953, 4], [954, 0], [954, 0], [954, 2], [914, 0], [914, 2], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 1]]"
"7.6-48,74,38,133,29,213+4","[[870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 2], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3], [788, 0], [788, 4], [789, 2], [749, 0], [749, 0], [749, 2], [709, 0], [709, 2], [669, 0], [669, 0], [669, 2], [629, 3], [628, 0]]"
"7.6-48,74,38,133,29,213+5","[[628, 0], [628, 1], [668, 4], [669, 0], [669, 0], [669, 1], [709, 0], [709, 1], [749, 0], [749, 0], [749, 3], [748, 1], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 1], [914, 0], [914, 1], [954, 0], [954, 0], [954, 3], [953, 0], [953, 1], [993, 0], [993, 1], [1033, 0], [1033, 3], [1032, 2], [992, 0], [992, 0], [992, 1], [1032, 0], [1032, 3], [1031, 0], [1031, 0], [1031, 1]]"
"7.6-48,74,38,133,29,213+6","[[1071, 2], [1031, 0], [1031, 0], [1031, 4], [1032, 0], [1032, 2], [992, 0], [992, 0], [992, 1], [1032, 4], [1033, 0], [1033, 2], [993, 0], [993, 2], [953, 0], [953, 4], [954, 0], [954, 0], [954, 2], [914, 0], [914, 2], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3], [788, 0], [788, 2], [748, 4], [749, 0], [749, 0], [749, 2], [709, 0], [709, 2], [669, 0], [669, 0], [669, 2], [629, 3], [628, 0]]"
"7.6-48,74,38,133,29,213+7","[[628, 0], [628, 0], [628, 0], [628, 0], [628, 0], [628, 0], [628, 0], [628, 1], [668, 4], [669, 0], [669, 0], [669, 1], [709, 0], [709, 0], [709, 4], [710, 0]]"
"7.6-48,74,38,133,29,213+8","[[710, 0], [710, 3], [709, 0], [709, 0], [709, 1], [749, 0], [749, 0], [749, 1], [789, 3]]"
"7.6-48,74,38,133,29,213+9","[[788, 4], [789, 0], [789, 0], [789, 2], [749, 4], [750, 0], [750, 0], [750, 0], [750, 2]]"
"7.6-64,140,31,142,167,149+1","[[832, 3], [831, 3], [830, 0], [830, 1], [870, 0], [870, 0], [870, 1], [910, 0], [910, 0], [910, 0]]"
"7.6-64,140,31,142,167,149+2","[[910, 0], [910, 0], [910, 0], [910, 2], [870, 0], [870, 0], [870, 2], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0]]"
