M,Dur,A_count,Count,oriMac,date,Moment
"7.6-108,247,132,46,111,88",2.37,1.0,8.0,"108,247,132,46,111,88",7.6,2.37
"7.6-132,65,103,218,221,212",11.95,3.0,89.0,"132,65,103,218,221,212",7.6,11.95
"7.6-36,161,96,63,189,117",3.03,2.0,11.0,"36,161,96,63,189,117",7.6,3.03
"7.6-140,206,78,224,75,99",11.98,5.0,348.0,"140,206,78,224,75,99",7.6,11.98
"7.6-36,161,96,61,220,245",12.0,2.0,153.0,"36,161,96,61,220,245",7.6,12.0
"7.6-240,103,40,135,90,171",12.0,2.0,256.0,"240,103,40,135,90,171",7.6,12.0
"7.6-220,245,5,135,187,95",11.95,2.0,38.0,"220,245,5,135,187,95",7.6,11.95
"7.6-28,66,125,50,93,223",11.97,2.0,59.0,"28,66,125,50,93,223",7.6,11.97
"7.6-164,201,57,9,43,253",3.67,4.0,155.0,"164,201,57,9,43,253",7.6,3.67
"7.6-104,74,174,67,128,132",3.33,3.0,19.0,"104,74,174,67,128,132",7.6,3.33
"7.6-164,204,185,229,56,107",5.62,4.0,85.0,"164,204,185,229,56,107",7.6,5.62
"7.6-192,46,37,42,205,205",11.98,2.0,49.0,"192,46,37,42,205,205",7.6,11.98
"7.6-140,37,5,134,24,48",12.0,2.0,52.0,"140,37,5,134,24,48",7.6,12.0
"7.6-64,200,31,163,246,107",12.0,2.0,7.0,"64,200,31,163,246,107",7.6,12.0
"7.6-236,193,171,217,136,197",3.65,2.0,61.0,"236,193,171,217,136,197",7.6,3.65
"7.6-124,218,195,126,234,181",12.02,3.0,63.0,"124,218,195,126,234,181",7.6,12.02
"7.6-8,74,207,99,147,223",9.75,7.0,44.0,"8,74,207,99,147,223",7.6,9.75
"7.6-28,2,25,109,232,179",3.48,1.0,6.0,"28,2,25,109,232,179",7.6,3.48
"7.6-172,115,82,76,172,89",3.83,4.0,905.0,"172,115,82,76,172,89",7.6,3.83
"7.6-72,125,46,236,65,206",3.13,2.0,4.0,"72,125,46,236,65,206",7.6,3.13
"7.6-48,231,188,153,110,173",1.7,2.0,18.0,"48,231,188,153,110,173",7.6,1.7
"7.6-228,163,47,85,234,94",3.83,2.0,9.0,"228,163,47,85,234,94",7.6,3.83
"7.6-72,70,193,160,220,65",3.63,2.0,88.0,"72,70,193,160,220,65",7.6,3.63
"7.6-252,171,144,115,155,102",3.33,1.0,7.0,"252,171,144,115,155,102",7.6,3.33
"7.6-32,238,40,60,214,136",2.98,1.0,5.0,"32,238,40,60,214,136",7.6,2.98
"7.6-36,161,96,62,63,219",12.28,1.0,58.0,"36,161,96,62,63,219",7.6,12.28
"7.6-164,125,159,153,152,106",12.27,5.0,209.0,"164,125,159,153,152,106",7.6,12.27
"7.6-24,2,174,207,62,51",3.7,2.0,14.0,"24,2,174,207,62,51",7.6,3.7
"7.6-188,206,37,205,243,112",3.73,2.0,15.0,"188,206,37,205,243,112",7.6,3.73
"7.6-212,131,4,236,83,154",4.03,2.0,4.0,"212,131,4,236,83,154",7.6,4.03
"7.6-48,74,38,155,86,98",1.68,2.0,2.0,"48,74,38,155,86,98",7.6,1.68
"7.6-156,95,91,12,124,73",2.47,1.0,3.0,"156,95,91,12,124,73",7.6,2.47
"7.6-92,74,31,185,183,247",3.42,1.0,2.0,"92,74,31,185,183,247",7.6,3.42
"7.6-48,74,38,155,214,96",3.58,1.0,3.0,"48,74,38,155,214,96",7.6,3.58
"7.6-20,94,105,93,76,199",12.77,4.0,146.0,"20,94,105,93,76,199",7.6,12.77
"7.6-112,58,81,118,159,27",4.55,2.0,51.0,"112,58,81,118,159,27",7.6,4.55
"7.6-4,207,141,11,128,186",3.63,2.0,2.0,"4,207,141,11,128,186",7.6,3.63
"7.6-204,8,251,70,125,190",4.48,5.0,7.0,"204,8,251,70,125,190",7.6,4.48
"7.6-244,96,226,16,224,222",4.4,1.0,5.0,"244,96,226,16,224,222",7.6,4.4
"7.6-72,149,7,30,171,33",4.68,2.0,2.0,"72,149,7,30,171,33",7.6,4.68
"7.6-236,1,238,73,129,10",3.9,1.0,17.0,"236,1,238,73,129,10",7.6,3.9
