M,Dur,A_count,Count,oriMac,date,Moment
"7.20-240,89,142,53,171,1",6.38,2.0,3.0,"240,89,142,53,171,1",7.20,6.38
"7.20-144,197,74,93,99,85",8.57,2.0,3.0,"144,197,74,93,99,85",7.20,8.57
"7.20-252,111,240,89,142,53",9.55,2.0,3.0,"252,111,240,89,142,53",7.20,9.55
"7.20-152,106,161,112,138,9",2.1,2.0,2.0,"152,106,161,112,138,9",7.20,2.1
"7.20-164,238,21,15,167,101",7.42,2.0,6.0,"164,238,21,15,167,101",7.20,7.42
"7.20-160,32,50,51,210,96",9.82,3.0,9.0,"160,32,50,51,210,96",7.20,9.82
"7.20-240,89,142,53,164,1",6.5,2.0,3.0,"240,89,142,53,164,1",7.20,6.5
"7.20-168,112,138,9,131,175",3.93,1.0,2.0,"168,112,138,9,131,175",7.20,3.93
"7.20-172,164,125,159,153,152",9.83,2.0,10.0,"172,164,125,159,153,152",7.20,9.83
"7.20-168,226,195,233,6,76",11.43,2.0,4.0,"168,226,195,233,6,76",7.20,11.43
"7.20-32,40,62,78,237,188",11.33,2.0,6.0,"32,40,62,78,237,188",7.20,11.33
"7.20-48,182,80,143,76,102",6.07,2.0,2.0,"48,182,80,143,76,102",7.20,6.07
"7.20-160,240,103,40,135,90",2.15,1.0,2.0,"160,240,103,40,135,90",7.20,2.15
"7.20-240,144,185,104,48,164",9.6,2.0,6.0,"240,144,185,104,48,164",7.20,9.6
"7.20-240,144,185,104,48,169",5.85,1.0,2.0,"240,144,185,104,48,169",7.20,5.85
"7.20-240,144,185,104,48,166",9.2,2.0,7.0,"240,144,185,104,48,166",7.20,9.2
"7.20-164,82,128,186,83,64",9.2,2.0,2.0,"164,82,128,186,83,64",7.20,9.2
"7.20-164,76,192,10,202,59",4.65,2.0,3.0,"164,76,192,10,202,59",7.20,4.65
"7.20-128,186,83,64,235,160",8.03,2.0,3.0,"128,186,83,64,235,160",7.20,8.03
"7.20-240,144,185,104,48,161",9.2,2.0,5.0,"240,144,185,104,48,161",7.20,9.2
"7.20-88,214,240,41,58,135",6.22,3.0,3.0,"88,214,240,41,58,135",7.20,6.22
"7.20-148,53,197,58,225,162",11.58,2.0,6.0,"148,53,197,58,225,162",7.20,11.58
"7.20-212,183,97,29,168,214",8.85,1.0,400.0,"212,183,97,29,168,214",7.20,8.85
"7.20-220,245,5,135,188,48",11.53,3.0,120.0,"220,245,5,135,188,48",7.20,11.53
"7.20-168,60,136,95,198,164",9.75,2.0,5.0,"168,60,136,95,198,164",7.20,9.75
"7.20-148,53,197,58,225,159",9.75,1.0,5.0,"148,53,197,58,225,159",7.20,9.75
"7.20-168,60,136,95,198,166",5.93,1.0,4.0,"168,60,136,95,198,166",7.20,5.93
"7.20-200,31,163,246,107,163",6.48,1.0,6.0,"200,31,163,246,107,163",7.20,6.48
"7.20-148,53,197,58,225,165",11.58,2.0,6.0,"148,53,197,58,225,165",7.20,11.58
"7.20-164,110,168,60,136,95",4.58,1.0,4.0,"164,110,168,60,136,95",7.20,4.58
"7.20-148,53,197,58,225,163",8.85,2.0,8.0,"148,53,197,58,225,163",7.20,8.85
"7.20-148,53,197,58,225,168",8.85,1.0,4.0,"148,53,197,58,225,168",7.20,8.85
"7.20-48,148,117,197,58,225",10.38,1.0,5.0,"48,148,117,197,58,225",7.20,10.38
"7.20-80,210,245,241,18,92",4.98,1.0,3.0,"80,210,245,241,18,92",7.20,4.98
"7.20-92,74,31,185,183,247",10.7,1.0,10.0,"92,74,31,185,183,247",7.20,10.7
"7.20-72,70,193,161,116,246",12.32,2.0,150.0,"72,70,193,161,116,246",7.20,12.32
"7.20-80,140,31,142,167,149",2.77,1.0,2.0,"80,140,31,142,167,149",7.20,2.77
"7.20-116,21,117,93,235,62",13.2,3.0,819.0,"116,21,117,93,235,62",7.20,13.2
"7.20-164,125,159,153,24,106",9.43,3.0,6.0,"164,125,159,153,24,106",7.20,9.43
"7.20-76,18,32,111,66,59",6.57,1.0,2.0,"76,18,32,111,66,59",7.20,6.57
"7.20-116,3,24,100,145,172",6.97,1.0,2.0,"116,3,24,100,145,172",7.20,6.97
"7.20-200,31,163,246,107,171",2.58,1.0,2.0,"200,31,163,246,107,171",7.20,2.58
"7.20-76,2,32,111,66,59",9.53,7.0,238.0,"76,2,32,111,66,59",7.20,9.53
"7.20-148,53,197,58,225,161",5.07,1.0,2.0,"148,53,197,58,225,161",7.20,5.07
"7.20-148,53,197,58,225,169",2.73,2.0,2.0,"148,53,197,58,225,169",7.20,2.73
"7.20-200,31,163,246,107,170",5.48,1.0,4.0,"200,31,163,246,107,170",7.20,5.48
"7.20-32,50,49,210,96,61",11.73,4.0,7.0,"32,50,49,210,96,61",7.20,11.73
"7.20-240,144,185,104,48,182",3.27,1.0,2.0,"240,144,185,104,48,182",7.20,3.27
"7.20-168,220,240,144,185,104",8.95,3.0,9.0,"168,220,240,144,185,104",7.20,8.95
"7.20-240,144,185,104,48,191",10.12,1.0,7.0,"240,144,185,104,48,191",7.20,10.12
"7.20-240,144,185,104,48,160",8.95,2.0,5.0,"240,144,185,104,48,160",7.20,8.95
"7.20-220,252,18,60,80,173",6.92,1.0,2.0,"220,252,18,60,80,173",7.20,6.92
"7.20-160,164,125,159,153,152",12.08,3.0,3.0,"160,164,125,159,153,152",7.20,12.08
"7.20-184,252,107,240,89,142",7.95,1.0,9.0,"184,252,107,240,89,142",7.20,7.95
"7.20-240,89,142,53,183,1",8.9,2.0,3.0,"240,89,142,53,183,1",7.20,8.9
"7.20-180,252,107,240,89,142",10.18,2.0,19.0,"180,252,107,240,89,142",7.20,10.18
"7.20-180,48,69,150,180,24",6.77,1.0,2.0,"180,48,69,150,180,24",7.20,6.77
"7.20-240,89,142,53,182,1",8.98,2.0,5.0,"240,89,142,53,182,1",7.20,8.98
"7.20-168,186,139,84,42,35",11.33,2.0,2.0,"168,186,139,84,42,35",7.20,11.33
"7.20-240,89,142,53,179,1",11.6,1.0,2.0,"240,89,142,53,179,1",7.20,11.6
"7.20-160,112,138,9,131,175",8.85,3.0,4.0,"160,112,138,9,131,175",7.20,8.85
"7.20-20,178,229,201,47,142",12.5,5.0,8.0,"20,178,229,201,47,142",7.20,12.5
"7.20-128,186,83,64,235,181",6.63,2.0,2.0,"128,186,83,64,235,181",7.20,6.63
"7.20-76,102,201,25,170,220",8.7,2.0,3.0,"76,102,201,25,170,220",7.20,8.7
"7.20-220,240,144,57,104,48",5.98,2.0,3.0,"220,240,144,57,104,48",7.20,5.98
"7.20-168,152,146,10,133,99",12.57,1.0,4.0,"168,152,146,10,133,99",7.20,12.57
"7.20-104,48,182,80,143,76",6.63,2.0,3.0,"104,48,182,80,143,76",7.20,6.63
"7.20-160,220,240,144,185,104",9.0,2.0,3.0,"160,220,240,144,185,104",7.20,9.0
"7.20-48,166,82,128,186,83",9.77,2.0,3.0,"48,166,82,128,186,83",7.20,9.77
"7.20-240,144,185,104,48,180",6.63,2.0,2.0,"240,144,185,104,48,180",7.20,6.63
"7.20-128,186,83,64,235,163",9.0,2.0,4.0,"128,186,83,64,235,163",7.20,9.0
"7.20-128,186,83,64,235,183",6.63,2.0,3.0,"128,186,83,64,235,183",7.20,6.63
"7.20-76,102,201,25,165,76",2.98,2.0,2.0,"76,102,201,25,165,76",7.20,2.98
"7.20-240,144,185,104,48,175",9.72,1.0,2.0,"240,144,185,104,48,175",7.20,9.72
"7.20-40,53,69,96,185,108",12.22,4.0,175.0,"40,53,69,96,185,108",7.20,12.22
"7.20-12,161,112,138,9,131",7.78,2.0,2.0,"12,161,112,138,9,131",7.20,7.78
"7.20-164,80,70,27,140,33",6.03,5.0,245.0,"164,80,70,27,140,33",7.20,6.03
"7.20-152,106,162,184,55,101",8.12,2.0,2.0,"152,106,162,184,55,101",7.20,8.12
"7.20-168,164,125,159,153,152",8.12,3.0,15.0,"168,164,125,159,153,152",7.20,8.12
"7.20-240,89,142,53,174,1",11.63,2.0,3.0,"240,89,142,53,174,1",7.20,11.63
"7.20-184,55,117,29,72,107",8.9,2.0,2.0,"184,55,117,29,72,107",7.20,8.9
"7.20-240,89,142,53,176,1",8.1,1.0,5.0,"240,89,142,53,176,1",7.20,8.1
"7.20-164,252,107,240,89,142",11.63,1.0,10.0,"164,252,107,240,89,142",7.20,11.63
"7.20-140,11,128,186,165,1",9.42,2.0,2.0,"140,11,128,186,165,1",7.20,9.42
"7.20-152,106,163,1,128,194",2.75,1.0,2.0,"152,106,163,1,128,194",7.20,2.75
"7.20-160,225,193,100,169,164",2.82,1.0,2.0,"160,225,193,100,169,164",7.20,2.82
"7.20-136,95,198,167,248,45",4.68,2.0,2.0,"136,95,198,167,248,45",7.20,4.68
"7.20-160,190,234,192,191,84",8.17,1.0,4.0,"160,190,234,192,191,84",7.20,8.17
"7.20-172,48,74,38,133,29",6.22,3.0,9.0,"172,48,74,38,133,29",7.20,6.22
"7.20-96,61,168,48,74,38",8.17,1.0,2.0,"96,61,168,48,74,38",7.20,8.17
"7.20-236,44,106,164,32,50",4.75,1.0,2.0,"236,44,106,164,32,50",7.20,4.75
"7.20-168,204,129,42,183,42",6.87,2.0,2.0,"168,204,129,42,183,42",7.20,6.87
"7.20-208,64,239,22,255,41",12.25,3.0,3.0,"208,64,239,22,255,41",7.20,12.25
"7.20-240,144,185,104,48,163",12.45,2.0,4.0,"240,144,185,104,48,163",7.20,12.45
"7.20-112,138,9,135,175,199",9.37,1.0,2.0,"112,138,9,135,175,199",7.20,9.37
"7.20-4,207,140,11,192,186",10.35,2.0,6.0,"4,207,140,11,192,186",7.20,10.35
"7.20-164,156,95,90,12,124",4.75,2.0,3.0,"164,156,95,90,12,124",7.20,4.75
"7.20-8,250,121,210,19,245",8.87,1.0,3.0,"8,250,121,210,19,245",7.20,8.87
"7.20-240,89,142,53,181,1",11.48,2.0,3.0,"240,89,142,53,181,1",7.20,11.48
"7.20-240,89,142,53,169,1",3.07,2.0,2.0,"240,89,142,53,169,1",7.20,3.07
"7.20-12,181,252,107,240,89",11.18,2.0,3.0,"12,181,252,107,240,89",7.20,11.18
"7.20-240,89,142,53,185,1",10.35,2.0,6.0,"240,89,142,53,185,1",7.20,10.35
"7.20-240,89,142,53,166,1",8.17,2.0,2.0,"240,89,142,53,166,1",7.20,8.17
"7.20-176,241,236,166,12,79",11.05,8.0,32.0,"176,241,236,166,12,79",7.20,11.05
"7.20-168,238,21,15,167,101",7.22,1.0,2.0,"168,238,21,15,167,101",7.20,7.22
"7.20-72,149,7,238,243,3",13.07,7.0,377.0,"72,149,7,238,243,3",7.20,13.07
"7.20-164,8,250,121,45,167",7.65,2.0,5.0,"164,8,250,121,45,167",7.20,7.65
"7.20-176,204,129,42,183,42",3.6,1.0,2.0,"176,204,129,42,183,42",7.20,3.6
"7.20-172,32,50,51,210,96",4.92,1.0,2.0,"172,32,50,51,210,96",7.20,4.92
"7.20-160,208,151,254,41,36",11.92,2.0,7.0,"160,208,151,254,41,36",7.20,11.92
"7.20-172,184,148,54,32,44",11.92,1.0,2.0,"172,184,148,54,32,44",7.20,11.92
"7.20-108,132,118,12,177,1",4.77,1.0,2.0,"108,132,118,12,177,1",7.20,4.77
"7.20-172,26,242,44,233,231",11.92,1.0,11.0,"172,26,242,44,233,231",7.20,11.92
"7.20-116,160,10,41,174,1",7.22,2.0,2.0,"116,160,10,41,174,1",7.20,7.22
"7.20-188,19,24,243,173,112",7.65,2.0,2.0,"188,19,24,243,173,112",7.20,7.65
"7.20-164,184,148,54,32,44",9.77,2.0,3.0,"164,184,148,54,32,44",7.20,9.77
"7.20-164,220,240,144,185,104",10.38,2.0,11.0,"164,220,240,144,185,104",7.20,10.38
"7.20-140,37,5,198,24,48",11.3,2.0,4.0,"140,37,5,198,24,48",7.20,11.3
"7.20-24,154,44,218,251,161",6.9,1.0,2.0,"24,154,44,218,251,161",7.20,6.9
"7.20-188,80,143,76,102,201",10.93,1.0,2.0,"188,80,143,76,102,201",7.20,10.93
"7.20-240,144,185,104,48,189",9.28,1.0,8.0,"240,144,185,104,48,189",7.20,9.28
"7.20-140,170,206,161,68,84",6.28,3.0,190.0,"140,170,206,161,68,84",7.20,6.28
"7.20-156,40,64,137,101,160",3.33,1.0,4.0,"156,40,64,137,101,160",7.20,3.33
"7.20-164,125,159,157,152,106",12.75,3.0,6.0,"164,125,159,157,152,106",7.20,12.75
"7.20-76,192,10,202,59,189",12.42,2.0,5.0,"76,192,10,202,59,189",7.20,12.42
"7.20-164,125,159,153,216,106",11.12,3.0,6.0,"164,125,159,153,216,106",7.20,11.12
"7.20-172,8,250,121,45,167",7.32,2.0,6.0,"172,8,250,121,45,167",7.20,7.32
"7.20-164,190,234,192,191,84",8.6,1.0,10.0,"164,190,234,192,191,84",7.20,8.6
"7.20-168,208,151,254,41,36",9.97,1.0,4.0,"168,208,151,254,41,36",7.20,9.97
"7.20-176,8,250,121,45,167",12.12,2.0,8.0,"176,8,250,121,45,167",7.20,12.12
"7.20-172,252,107,240,89,142",8.47,2.0,3.0,"172,252,107,240,89,142",7.20,8.47
"7.20-176,252,107,240,89,142",9.42,2.0,6.0,"176,252,107,240,89,142",7.20,9.42
"7.20-180,162,220,252,18,60",5.98,1.0,2.0,"180,162,220,252,18,60",7.20,5.98
"7.20-140,83,195,148,92,46",11.48,3.0,91.0,"140,83,195,148,92,46",7.20,11.48
"7.20-96,61,165,8,250,121",3.88,2.0,3.0,"96,61,165,8,250,121",7.20,3.88
"7.20-164,112,71,233,44,21",9.52,1.0,11.0,"164,112,71,233,44,21",7.20,9.52
"7.20-164,164,201,57,9,43",12.12,2.0,4.0,"164,164,201,57,9,43",7.20,12.12
"7.20-8,250,121,61,167,67",7.82,2.0,6.0,"8,250,121,61,167,67",7.20,7.82
"7.20-208,151,254,41,52,198",13.15,1.0,5.0,"208,151,254,41,52,198",7.20,13.15
"7.20-168,8,250,121,45,167",7.85,2.0,6.0,"168,8,250,121,45,167",7.20,7.85
"7.20-152,33,91,169,8,250",8.4,2.0,3.0,"152,33,91,169,8,250",7.20,8.4
"7.20-164,134,115,188,19,24",7.85,2.0,4.0,"164,134,115,188,19,24",7.20,7.85
"7.20-92,102,108,72,204,105",7.2,7.0,82.0,"92,102,108,72,204,105",7.20,7.2
"7.20-164,82,29,90,246,227",3.55,1.0,2.0,"164,82,29,90,246,227",7.20,3.55
"7.20-164,112,138,9,131,175",9.38,3.0,7.0,"164,112,138,9,131,175",7.20,9.38
"7.20-156,245,49,209,69,163",11.17,4.0,36.0,"156,245,49,209,69,163",7.20,11.17
"7.20-88,102,190,101,140,144",10.77,2.0,3.0,"88,102,190,101,140,144",7.20,10.77
"7.20-164,142,182,214,236,44",8.73,3.0,4.0,"164,142,182,214,236,44",7.20,8.73
"7.20-88,198,208,41,58,135",6.6,1.0,2.0,"88,198,208,41,58,135",7.20,6.6
"7.20-144,195,95,15,4,30",12.9,2.0,718.0,"144,195,95,15,4,30",7.20,12.9
"7.20-92,255,255,144,7,131",12.92,2.0,80.0,"92,255,255,144,7,131",7.20,12.92
"7.20-164,36,17,69,161,50",8.25,2.0,2.0,"164,36,17,69,161,50",7.20,8.25
"7.20-172,36,17,69,161,50",8.65,1.0,3.0,"172,36,17,69,161,50",7.20,8.65
"7.20-44,233,231,91,172,8",6.7,1.0,2.0,"44,233,231,91,172,8",7.20,6.7
"7.20-44,233,231,91,181,1",6.87,2.0,2.0,"44,233,231,91,181,1",7.20,6.87
"7.20-164,8,250,121,194,19",12.4,2.0,15.0,"164,8,250,121,194,19",7.20,12.4
"7.20-48,74,36,133,29,213",11.95,4.0,9.0,"48,74,36,133,29,213",7.20,11.95
"7.20-172,20,94,105,93,76",8.13,2.0,4.0,"172,20,94,105,93,76",7.20,8.13
"7.20-148,54,32,44,55,161",12.82,2.0,2.0,"148,54,32,44,55,161",7.20,12.82
"7.20-116,71,233,44,21,7",9.68,1.0,3.0,"116,71,233,44,21,7",7.20,9.68
"7.20-164,201,57,205,13,69",14.1,9.0,900.0,"164,201,57,205,13,69",7.20,14.1
"7.20-160,184,148,54,32,44",9.25,2.0,2.0,"160,184,148,54,32,44",7.20,9.25
"7.20-160,48,74,38,133,29",8.22,3.0,3.0,"160,48,74,38,133,29",7.20,8.22
"7.20-164,88,198,240,41,58",6.32,2.0,2.0,"164,88,198,240,41,58",7.20,6.32
"7.20-176,28,209,7,152,33",8.8,1.0,2.0,"176,28,209,7,152,33",7.20,8.8
"7.20-180,28,209,7,152,33",8.8,1.0,3.0,"180,28,209,7,152,33",7.20,8.8
"7.20-72,125,46,223,247,70",12.32,3.0,8.0,"72,125,46,223,247,70",7.20,12.32
"7.20-168,60,136,95,198,171",6.05,2.0,2.0,"168,60,136,95,198,171",7.20,6.05
"7.20-152,59,103,48,125,41",13.62,2.0,8.0,"152,59,103,48,125,41",7.20,13.62
"7.20-20,178,101,137,47,142",11.45,3.0,4.0,"20,178,101,137,47,142",7.20,11.45
"7.20-100,179,252,107,240,89",8.07,1.0,2.0,"100,179,252,107,240,89",7.20,8.07
"7.20-204,8,251,70,125,190",13.43,4.0,7.0,"204,8,251,70,125,190",7.20,13.43
"7.20-168,8,250,121,194,19",10.2,2.0,5.0,"168,8,250,121,194,19",7.20,10.2
"7.20-32,50,51,208,96,61",11.02,2.0,8.0,"32,50,51,208,96,61",7.20,11.02
"7.20-168,112,58,81,118,159",10.17,2.0,4.0,"168,112,58,81,118,159",7.20,10.17
"7.20-124,161,119,225,7,54",14.15,4.0,360.0,"124,161,119,225,7,54",7.20,14.15
"7.20-172,88,198,240,41,58",4.92,1.0,2.0,"172,88,198,240,41,58",7.20,4.92
"7.20-180,8,250,121,45,167",4.92,1.0,2.0,"180,8,250,121,45,167",7.20,4.92
"7.20-20,179,229,137,47,142",9.28,3.0,7.0,"20,179,229,137,47,142",7.20,9.28
"7.20-148,54,32,44,55,178",12.82,1.0,2.0,"148,54,32,44,55,178",7.20,12.82
"7.20-160,204,129,42,183,42",9.23,3.0,7.0,"160,204,129,42,183,42",7.20,9.23
"7.20-180,184,148,54,32,44",8.22,2.0,2.0,"180,184,148,54,32,44",7.20,8.22
"7.20-244,21,253,30,63,145",7.05,5.0,6.0,"244,21,253,30,63,145",7.20,7.05
"7.20-160,36,17,69,161,50",4.97,1.0,2.0,"160,36,17,69,161,50",7.20,4.97
"7.20-172,28,209,7,152,33",9.33,2.0,6.0,"172,28,209,7,152,33",7.20,9.33
"7.20-20,176,229,137,47,142",9.95,2.0,3.0,"20,176,229,137,47,142",7.20,9.95
"7.20-20,178,229,137,39,142",10.98,4.0,5.0,"20,178,229,137,39,142",7.20,10.98
"7.20-160,190,59,116,160,10",9.05,2.0,3.0,"160,190,59,116,160,10",7.20,9.05
"7.20-164,8,250,121,183,224",4.97,1.0,2.0,"164,8,250,121,183,224",7.20,4.97
"7.20-172,204,129,42,183,42",10.52,2.0,2.0,"172,204,129,42,183,42",7.20,10.52
"7.20-32,50,19,210,96,61",13.52,4.0,12.0,"32,50,19,210,96,61",7.20,13.52
"7.20-36,82,106,123,81,234",13.92,1.0,7.0,"36,82,106,123,81,234",7.20,13.92
"7.20-20,178,245,137,47,142",12.13,4.0,7.0,"20,178,245,137,47,142",7.20,12.13
"7.20-36,125,159,153,152,106",13.07,3.0,7.0,"36,125,159,153,152,106",7.20,13.07
"7.20-72,125,46,236,65,206",14.02,1.0,7.0,"72,125,46,236,65,206",7.20,14.02
"7.20-8,218,121,194,19,245",8.55,1.0,4.0,"8,218,121,194,19,245",7.20,8.55
"7.20-8,179,175,7,212,61",14.15,1.0,5.0,"8,179,175,7,212,61",7.20,14.15
"7.20-48,236,165,220,64,63",9.4,2.0,7.0,"48,236,165,220,64,63",7.20,9.4
"7.20-168,130,198,198,133,218",7.17,2.0,2.0,"168,130,198,198,133,218",7.20,7.17
"7.20-216,50,20,254,96,65",14.28,5.0,40.0,"216,50,20,254,96,65",7.20,14.28
"7.20-48,231,188,153,110,173",13.8,12.0,62.0,"48,231,188,153,110,173",7.20,13.8
"7.20-72,70,193,160,137,123",10.2,2.0,4.0,"72,70,193,160,137,123",7.20,10.2
"7.20-76,192,2,202,59,191",13.17,2.0,2.0,"76,192,2,202,59,191",7.20,13.17
"7.20-96,61,176,1,128,194",11.23,1.0,3.0,"96,61,176,1,128,194",7.20,11.23
"7.20-112,58,81,86,159,27",11.48,2.0,6.0,"112,58,81,86,159,27",7.20,11.48
"7.20-44,233,231,91,178,1",11.27,1.0,2.0,"44,233,231,91,178,1",7.20,11.27
"7.20-48,74,38,197,29,213",11.35,3.0,4.0,"48,74,38,197,29,213",7.20,11.35
"7.20-164,184,55,101,29,72",11.77,2.0,3.0,"164,184,55,101,29,72",7.20,11.77
"7.20-252,118,199,5,52,167",9.62,2.0,2.0,"252,118,199,5,52,167",7.20,9.62
"7.20-152,156,87,142,236,91",11.12,6.0,38.0,"152,156,87,142,236,91",7.20,11.12
"7.20-96,61,162,8,250,121",13.58,1.0,2.0,"96,61,162,8,250,121",7.20,13.58
"7.20-24,159,240,27,108,132",8.78,2.0,2.0,"24,159,240,27,108,132",7.20,8.78
"7.20-28,209,7,153,33,91",14.37,1.0,7.0,"28,209,7,153,33,91",7.20,14.37
"7.20-20,178,229,137,111,142",10.62,1.0,2.0,"20,178,229,137,111,142",7.20,10.62
"7.20-160,157,193,211,143,65",9.87,4.0,41.0,"160,157,193,211,143,65",7.20,9.87
"7.20-240,89,142,53,180,1",12.13,3.0,3.0,"240,89,142,53,180,1",7.20,12.13
"7.20-164,93,159,153,152,106",10.48,2.0,2.0,"164,93,159,153,152,106",7.20,10.48
"7.20-64,140,31,253,182,117",6.93,5.0,29.0,"64,140,31,253,182,117",7.20,6.93
"7.20-80,70,27,140,33,166",7.42,1.0,3.0,"80,70,27,140,33,166",7.20,7.42
"7.20-136,95,198,166,64,200",7.07,1.0,2.0,"136,95,198,166,64,200",7.20,7.07
"7.20-200,31,163,246,107,161",6.58,1.0,2.0,"200,31,163,246,107,161",7.20,6.58
"7.20-168,60,136,95,198,160",10.28,1.0,4.0,"168,60,136,95,198,160",7.20,10.28
"7.20-168,248,45,124,72,127",6.58,1.0,2.0,"168,248,45,124,72,127",7.20,6.58
"7.20-168,60,136,95,198,167",7.42,1.0,4.0,"168,60,136,95,198,167",7.20,7.42
"7.20-172,76,2,32,111,66",8.97,1.0,2.0,"172,76,2,32,111,66",7.20,8.97
"7.20-160,110,168,60,136,95",11.33,2.0,5.0,"160,110,168,60,136,95",7.20,11.33
"7.20-80,70,27,140,33,167",6.58,1.0,2.0,"80,70,27,140,33,167",7.20,6.58
"7.20-196,159,76,100,164,97",6.77,5.0,12.0,"196,159,76,100,164,97",7.20,6.77
"7.20-40,51,52,148,193,94",6.63,3.0,5.0,"40,51,52,148,193,94",7.20,6.63
"7.20-164,248,45,124,72,127",9.12,3.0,3.0,"164,248,45,124,72,127",7.20,9.12
"7.20-12,166,112,138,9,131",9.88,1.0,2.0,"12,166,112,138,9,131",7.20,9.88
"7.20-36,82,106,59,81,232",11.98,1.0,4.0,"36,82,106,59,81,232",7.20,11.98
"7.20-148,54,32,44,55,165",13.73,1.0,2.0,"148,54,32,44,55,165",7.20,13.73
"7.20-72,149,7,30,171,33",14.63,2.0,22.0,"72,149,7,30,171,33",7.20,14.63
"7.20-136,191,228,175,202,9",15.13,7.0,411.0,"136,191,228,175,202,9",7.20,15.13
"7.20-24,2,174,207,63,51",14.42,2.0,3.0,"24,2,174,207,63,51",7.20,14.42
"7.20-88,100,186,101,140,144",12.72,2.0,4.0,"88,100,186,101,140,144",7.20,12.72
"7.20-72,76,134,151,123,179",7.28,1.0,10.0,"72,76,134,151,123,179",7.20,7.28
"7.20-48,123,172,71,160,113",12.65,4.0,15.0,"48,123,172,71,160,113",7.20,12.65
"7.20-184,148,54,32,60,55",14.22,3.0,4.0,"184,148,54,32,60,55",7.20,14.22
"7.20-32,40,62,78,233,36",15.17,2.0,13.0,"32,40,62,78,233,36",7.20,15.17
"7.20-240,103,40,135,90,163",11.02,1.0,2.0,"240,103,40,135,90,163",7.20,11.02
"7.20-152,55,101,29,72,107",11.82,2.0,7.0,"152,55,101,29,72,107",7.20,11.82
"7.20-84,14,88,109,169,239",7.43,2.0,10.0,"84,14,88,109,169,239",7.20,7.43
"7.20-164,125,223,153,152,106",14.07,2.0,8.0,"164,125,223,153,152,106",7.20,14.07
"7.20-136,3,233,160,14,43",7.5,4.0,4.0,"136,3,233,160,14,43",7.20,7.5
"7.20-20,178,229,9,47,142",11.07,3.0,4.0,"20,178,229,9,47,142",7.20,11.07
"7.20-168,60,136,95,198,165",7.95,1.0,2.0,"168,60,136,95,198,165",7.20,7.95
"7.20-104,143,149,162,48,148",8.9,1.0,2.0,"104,143,149,162,48,148",7.20,8.9
"7.20-200,31,163,246,107,168",10.75,1.0,2.0,"200,31,163,246,107,168",7.20,10.75
"7.20-160,48,148,53,197,58",7.78,2.0,2.0,"160,48,148,53,197,58",7.20,7.78
"7.20-48,123,172,71,127,116",11.45,3.0,3.0,"48,123,172,71,127,116",7.20,11.45
"7.20-76,121,110,52,153,145",11.4,2.0,29.0,"76,121,110,52,153,145",7.20,11.4
"7.20-168,60,136,95,198,162",11.8,1.0,2.0,"168,60,136,95,198,162",7.20,11.8
"7.20-164,90,255,236,199,1",12.7,1.0,4.0,"164,90,255,236,199,1",7.20,12.7
"7.20-116,195,48,25,244,36",15.23,2.0,3.0,"116,195,48,25,244,36",7.20,15.23
"7.20-116,242,250,31,57,102",13.23,3.0,14.0,"116,242,250,31,57,102",7.20,13.23
"7.20-168,184,148,54,32,44",12.05,3.0,4.0,"168,184,148,54,32,44",7.20,12.05
"7.20-20,178,229,137,63,142",12.3,4.0,7.0,"20,178,229,137,63,142",7.20,12.3
"7.20-32,50,51,210,112,61",15.38,2.0,15.0,"32,50,51,210,112,61",7.20,15.38
"7.20-20,178,229,141,47,142",10.47,3.0,4.0,"20,178,229,141,47,142",7.20,10.47
"7.20-160,82,128,186,83,64",12.3,1.0,2.0,"160,82,128,186,83,64",7.20,12.3
"7.20-64,235,163,220,240,144",11.53,1.0,2.0,"64,235,163,220,240,144",7.20,11.53
"7.20-128,186,83,64,235,165",12.3,1.0,4.0,"128,186,83,64,235,165",7.20,12.3
"7.20-168,82,128,186,83,64",11.53,1.0,2.0,"168,82,128,186,83,64",7.20,11.53
"7.20-48,90,38,133,29,213",15.2,2.0,5.0,"48,90,38,133,29,213",7.20,15.2
"7.20-204,45,131,71,244,199",8.77,5.0,90.0,"204,45,131,71,244,199",7.20,8.77
"7.20-184,148,54,32,44,119",8.65,2.0,2.0,"184,148,54,32,44,119",7.20,8.65
"7.20-176,26,242,44,233,231",10.05,1.0,6.0,"176,26,242,44,233,231",7.20,10.05
"7.20-180,26,242,44,233,231",8.15,1.0,2.0,"180,26,242,44,233,231",7.20,8.15
"7.20-32,50,51,210,96,125",11.58,3.0,6.0,"32,50,51,210,96,125",7.20,11.58
"7.20-48,74,54,133,29,213",12.82,2.0,7.0,"48,74,54,133,29,213",7.20,12.82
"7.20-172,20,178,229,137,47",14.78,1.0,3.0,"172,20,178,229,137,47",7.20,14.78
"7.20-20,178,229,137,47,14",11.58,5.0,7.0,"20,178,229,137,47,14",7.20,11.58
"7.20-8,250,121,45,165,67",12.98,2.0,2.0,"8,250,121,45,165,67",7.20,12.98
"7.20-164,112,58,81,118,159",9.35,2.0,3.0,"164,112,58,81,118,159",7.20,9.35
"7.20-12,166,164,125,159,153",12.2,2.0,2.0,"12,166,164,125,159,153",7.20,12.2
"7.20-96,50,51,210,96,61",10.5,3.0,3.0,"96,50,51,210,96,61",7.20,10.5
"7.20-240,144,185,104,48,170",12.52,1.0,2.0,"240,144,185,104,48,170",7.20,12.52
