cluster_num,noise_num,dbcv,silhouette,calinski,eps,min_samples
11,515,-0.44927727603180845,0.3637257981461578,278.60948389675906,0.45999999999999996,12
8,595,-0.3367214098484125,0.4632207328733123,248.61079226155564,0.45999999999999996,13
6,656,-0.27497248562094145,0.6380993190665613,789.2103684578235,0.45999999999999996,14
17,200,-0.4929676971245855,0.17188158993833574,98.27894539446807,0.48,5
13,241,-0.3985142750619404,0.3542629854308401,271.2340035626298,0.48,6
8,293,-0.3726662146303502,0.3891078419268731,319.27181914210894,0.48,7
9,316,-0.4005440655179218,0.40457376233400694,244.98719547073728,0.48,8
7,361,-0.2392729304113889,0.37228503939817953,262.4887206191405,0.48,9
9,393,-0.3818254726955222,0.4237382125249269,349.7189211979692,0.48,10
7,447,-0.26263655659410856,0.38071190742124716,352.9614546549117,0.48,11
9,481,-0.5141379961998589,0.35279584444220097,314.6350048404881,0.48,12
11,513,-0.4413053635203157,0.45897831347097523,345.1726226717013,0.48,13
8,571,-0.3674393024443674,0.5265881744884222,275.3890625322279,0.48,14
16,172,-0.5037319345159036,0.20479651703355692,92.01286551643432,0.5,5
13,216,-0.49463028927131725,0.15723323964050898,84.86182464597555,0.5,6
10,261,-0.3665215288374631,0.3290190955888179,285.19685448071914,0.5,7
8,306,-0.3985318396076177,0.38724647242245736,271.87930616388996,0.5,8
7,328,-0.35398619654955354,0.38410979889854036,282.56082517380077,0.5,9
7,362,-0.33447851429223613,0.3670710692851399,257.8659885191583,0.5,10
6,401,-0.3804545853036264,0.41260879661385286,450.7677028943844,0.5,11
6,436,-0.3054200967134207,0.40316144551923133,408.55976847042814,0.5,12
8,463,-0.3600756338079838,0.4345731910306388,370.0129375358856,0.5,13
7,521,-0.30109495781402734,0.5373554419920594,322.2747940329113,0.5,14
15,151,-0.5606735544474197,0.1898938845816462,86.04366903710488,0.52,5
13,191,-0.5295544727283146,0.2072032953468557,80.49995583501722,0.52,6
11,229,-0.4613847169429506,0.32548199637812375,276.5896790326517,0.52,7
8,278,-0.4312049882543079,0.394357209591432,301.96666104880484,0.52,8
8,300,-0.37662028547317056,0.38782209053225386,275.7909671172373,0.52,9
7,337,-0.3398068604820277,0.36476682129394544,276.54709365903597,0.52,10
5,372,-0.3111140929714151,0.35152000231721336,335.13817388073153,0.52,11
6,390,-0.4093670516089965,0.3751584162174897,435.6193042857172,0.52,12
7,420,-0.4512552113108533,0.4985003306963986,350.60105197742064,0.52,13
7,474,-0.3922279810954676,0.5111305615882271,343.84579842128244,0.52,14
15,125,-0.5981275413703052,0.2562919147844378,76.9941804870338,0.54,5
13,180,-0.5560152671398693,0.20425145313744072,82.79595705025676,0.54,6
13,204,-0.5110715315309583,0.3239734498990604,253.31194354865576,0.54,7
8,262,-0.4870057384454996,0.38912474047824247,308.0954373994671,0.54,8
8,279,-0.45250768822130977,0.3786797229774029,278.0756355081768,0.54,9
8,305,-0.40858145079685443,0.3952589284842125,262.6813298602685,0.54,10
7,336,-0.41512333220326453,0.36073671654638356,254.53610257375155,0.54,11
6,360,-0.40853106740741735,0.3306054661536095,272.57375368628846,0.54,12
