mac,数据量,平均活跃时刻,移动距离,中间时刻,持续时间,id,cluster
"7.14-40,53,69,96,185,108",1.368421052631579,4.959341136101299,0.476436236308562,3.552049022104304,8.422209046838487,1,0
"7.14-164,80,70,27,140,33",4.0,4.8981001063342475,1.125685316267751,3.7457389047239635,8.696334530743208,1,0
"7.14-248,45,124,72,127,16",5.368421052631579,6.146239688019978,1.3775005855707432,4.611675606410331,9.90583475743731,1,0
"7.14-116,21,117,93,235,62",2.1052631578947367,2.8970336971486303,3.175500514111262,3.736456904411825,8.663202315767446,1,0
"7.14-208,151,254,40,222,169",0.42105263157894735,4.734111540450725,0.0,4.615454119811732,9.90653227775259,1,0
"7.14-104,74,174,67,128,132",2.3157894736842106,3.282758866292127,3.0909798285766463,3.682161309665601,8.5838012532115,1,0
"7.14-152,151,204,174,182,173",2.631578947368421,5.598622356721824,2.2046837719489782,4.631143164587114,9.849916878829093,1,0
"7.14-140,170,206,161,68,84",1.8947368421052633,3.1778441488336044,0.0,4.647982191702056,9.860495936944162,1,0
"7.14-140,37,5,134,24,48",1.7894736842105263,6.464324972946747,0.5652444906725528,4.615618403003097,9.797254095025515,1,0
"7.14-4,237,51,58,71,236",1.368421052631579,2.4693538600038862,0.5032335414921534,3.8004452074486,8.482195793952497,1,0
"7.14-32,84,250,87,207,6",1.6842105263157894,3.841229930614867,5.363113410165509,1.1545001273194733,4.274055731873191,1,2
"7.14-176,241,236,166,12,79",0.631578947368421,3.4525866860628107,0.09738339202274,4.788280037128002,5.809297945802671,1,2
"7.14-48,123,172,71,127,62",0.631578947368421,7.682852856196588,1.4863968938945813,6.55366721153925,3.477952545367884,1,1
"7.14-48,123,172,71,160,113",1.5789473684210527,6.976922831937404,3.7999769741673983,6.766167519570235,3.146049128680872,1,1
"7.14-224,72,211,29,147,111",0.8421052631578947,5.701303886383625,2.729791854413218,5.986068785372225,1.4886246061916555,1,1
"7.14-240,181,209,194,157,124",0.631578947368421,9.088630026097611,1.420654171844171,9.375723872811953,0.18170404213022903,1,1
"7.15-76,111,156,154,6,215",0.42105263157894735,2.412704917037657,0.0,1.9009208072876023,6.249084504586195,1,2
