m,trajs,cluster
"7.8-220,114,155,222,161,114+18","[[1641, 1], [1721, 1], [1801, 3], [1800, 0], [1800, 1], [1880, 3], [1879, 0], [1879, 1], [1959, 3], [1958, 1]]",2
"7.8-220,114,155,222,161,114+19","[[2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 4], [1880, 2], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]",2
"7.8-132,65,103,218,221,212+1","[[1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0], [1800, 0]]",2
"7.8-132,65,103,218,221,212+2","[[242, 1], [322, 4], [323, 4], [324, 1], [404, 0], [404, 1], [484, 4], [485, 4], [486, 4], [487, 1], [567, 0], [567, 4], [568, 1], [648, 0], [648, 4], [649, 1], [729, 0], [729, 1], [809, 1], [889, 4], [890, 0], [890, 4], [891, 4]]",2
"7.8-132,65,103,218,221,212+4","[[1800, 0], [1800, 0]]",2
"7.8-176,223,193,193,47,17+3","[[3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0], [3348, 0]]",2
"7.8-176,223,193,193,47,17+5","[[3097, 2], [3017, 3], [3016, 3], [3015, 3], [3014, 2], [2934, 0], [2934, 3], [2933, 3], [2932, 2], [2852, 0], [2852, 3], [2851, 2], [2771, 2], [2691, 3], [2690, 0], [2690, 3], [2689, 2], [2609, 3], [2608, 0], [2608, 3], [2607, 2], [2527, 0], [2527, 3], [2526, 2], [2446, 0], [2446, 3], [2445, 3], [2444, 2], [2364, 0], [2364, 3], [2363, 2], [2283, 3], [2282, 2], [2202, 0], [2202, 2], [2122, 3], [2121, 3], [2120, 2], [2040, 3], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 2], [1799, 4], [1800, 0], [1800, 2], [1720, 4], [1721, 2]]",2
"7.8-176,223,193,193,47,17+6","[[1641, 1], [1721, 3], [1720, 1], [1800, 0], [1800, 1], [1880, 3], [1879, 0], [1879, 1], [1959, 1], [2039, 3], [2038, 0], [2038, 4], [2039, 0], [2039, 1], [2119, 4], [2120, 4], [2121, 1], [2201, 4], [2202, 0], [2202, 4], [2203, 1], [2283, 1], [2363, 4], [2364, 0], [2364, 4], [2365, 1], [2445, 4], [2446, 0], [2446, 1], [2526, 4], [2527, 0], [2527, 4], [2528, 1], [2608, 0], [2608, 4], [2609, 1], [2689, 4], [2690, 0], [2690, 1], [2770, 4], [2771, 1], [2851, 4], [2852, 0], [2852, 4], [2853, 4], [2854, 1], [2934, 0], [2934, 4], [2935, 1], [3015, 4], [3016, 1], [3096, 4]]",2
"7.8-156,116,3,24,100,145+1","[[3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 3], [3340, 2], [3260, 2], [3180, 3], [3179, 0], [3179, 3], [3178, 1], [3258, 0], [3258, 1], [3338, 3], [3337, 1], [3417, 0], [3417, 1], [3497, 0], [3497, 1], [3577, 3], [3576, 0], [3576, 1], [3656, 3], [3655, 0], [3655, 1], [3735, 3], [3734, 0], [3734, 3], [3733, 0], [3733, 3], [3732, 3], [3731, 1], [3811, 0], [3811, 3], [3810, 1]]",2
"7.8-156,116,3,24,100,145+2","[[3890, 4], [3891, 2], [3811, 0], [3811, 4], [3812, 2], [3732, 4], [3733, 0], [3733, 4], [3734, 0], [3734, 2], [3654, 4], [3655, 0], [3655, 4], [3656, 2], [3576, 0], [3576, 2], [3496, 4], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 2], [3257, 4], [3258, 0], [3258, 2], [3178, 4], [3179, 0], [3179, 3], [3178, 3], [3177, 2]]",2
"7.8-156,116,3,24,100,145+3","[[3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 1], [3259, 3], [3258, 0], [3258, 1], [3338, 3], [3337, 1], [3417, 0], [3417, 1], [3497, 0], [3497, 3], [3496, 1], [3576, 0], [3576, 3], [3575, 1], [3655, 0], [3655, 3], [3654, 1], [3734, 0], [3734, 3], [3733, 0], [3733, 3], [3732, 3], [3731, 1], [3811, 0], [3811, 3], [3810, 1]]",2
"7.8-156,116,3,24,100,145+4","[[3890, 2], [3810, 4], [3811, 0], [3811, 4], [3812, 2], [3732, 4], [3733, 0], [3733, 4], [3734, 0], [3734, 2], [3654, 4], [3655, 0], [3655, 4], [3656, 2], [3576, 0], [3576, 4], [3577, 2], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 2], [3257, 4], [3258, 0], [3258, 2], [3178, 4], [3179, 0], [3179, 1], [3259, 4], [3260, 1], [3340, 4], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",2
"7.8-156,116,3,24,100,145+5","[[3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 2], [3261, 3], [3260, 2], [3180, 3], [3179, 0], [3179, 3], [3178, 3], [3177, 2]]",2
