wifi_a,wifi_b,count,distance,meanTime,maxSpeed
120.0,99.0,1.0,40.56,5739.0,0.007067433350757972
99.0,25019.0,3.0,66.08,5.0,33.04
22.0,95.0,1.0,157.9,5.0,31.580000000000002
95.0,25019.0,1.0,54.22,6.0,9.036666666666667
95.0,52771.0,1.0,18.86,5.0,3.772
52771.0,12920.0,3.0,58.67,47.666666666666664,29.335
12920.0,91867.0,5.0,17.12,12.2,8.56
12920.0,92.0,2.0,153.94,110.5,307.88
52771.0,91867.0,3.0,73.16,5048.333333333333,36.58
52771.0,92.0,2.0,158.11,13.0,31.622000000000003
99.0,93772.0,1.0,21.73,7.0,3.1042857142857145
93772.0,32.0,4.0,48.18,14.5,96.36
93772.0,37793.0,1.0,29.41,57142.0,0.0005146827202408037
31993.0,77753.0,2.0,28.6,20.0,7.15
31993.0,19753.0,1.0,32.39,24.0,1.3495833333333334
19753.0,77753.0,5.0,56.44,10.8,18.813333333333333
77753.0,22306.0,3.0,10.44,19.333333333333332,10.44
19753.0,22306.0,1.0,49.4,2.0,24.7
19753.0,29654.0,1.0,11.4,55.0,0.20727272727272728
29654.0,22306.0,4.0,53.76,10.5,17.919999999999998
29654.0,77753.0,1.0,59.14,2694.0,0.021952487008166297
77753.0,99.0,3.0,28.86,22.666666666666668,14.43
99.0,29654.0,3.0,87.38,11.333333333333334,43.69
29654.0,45431.0,1.0,5.83,5.0,1.166
45431.0,95.0,5.0,12.83,504.0,6.415
45431.0,120.0,2.0,64.83,2.0,32.415
95.0,70466.0,1.0,56.83,203.0,0.27995073891625616
88.0,37314.0,1.0,26.87,939.0,0.02861554845580405
37314.0,95.0,2.0,26.44,2455.0,0.020737254901960784
37314.0,13.0,3.0,49.67,14.666666666666666,8.278333333333334
37314.0,5.0,1.0,64.81,5.0,12.962
5.0,13.0,1.0,114.24,235.0,0.4861276595744681
37314.0,99.0,2.0,121.72,6.5,60.86
37314.0,22.0,1.0,179.19,517.0,0.3465957446808511
12483.0,58265.0,2.0,6.08,255.5,2.026666666666667
12483.0,5882.0,3.0,41.23,96.0,20.615
5882.0,58265.0,1.0,35.17,57256.0,0.0006142587676400727
95.0,65154.0,1.0,45.99,312.0,0.14740384615384616
65154.0,68240.0,6.0,41.59,998.6666666666666,13.863333333333335
65154.0,99.0,4.0,73.15,47.25,7.315
65154.0,5315.0,1.0,32.8,5651.0,0.0058042824278888685
5315.0,22.0,1.0,138.33,451.0,0.3067184035476719
22.0,65154.0,5.0,137.55,148.4,17.19375
65154.0,49.0,1.0,53.06,56648.0,0.0009366614884903263
49.0,95.0,1.0,55.08,184.0,0.29934782608695654
37314.0,95.0,1.0,26.44,10218.0,0.0025875905265218243
95.0,2642.0,1.0,6.76,7.0,0.9657142857142856
2642.0,49.0,2.0,61.75,2.0,30.875
2642.0,99.0,3.0,94.87,1.6666666666666667,94.87
2642.0,22.0,2.0,153.79,4.5,38.4475
99.0,80310.0,1.0,89.1,4.0,22.275
80310.0,22.0,1.0,148.58,3.0,49.52666666666667
22.0,32.0,1.0,88.88,1.0,88.88
32.0,80310.0,1.0,80.32,35.0,2.2948571428571425
80310.0,92.0,2.0,151.74,96.0,75.87
80310.0,50227.0,1.0,19.65,1576.0,0.012468274111675125
50227.0,49.0,4.0,62.09,2.5,62.09
50227.0,99.0,4.0,108.27,14.0,108.27
50227.0,66.0,1.0,374.59,69.0,5.428840579710145
66.0,95.0,1.0,364.53,62127.0,0.005867497223429426
99.0,5.0,5.0,59.06,89.2,19.686666666666667
5.0,95.0,6.0,39.38,6.5,7.876
5.0,22.0,8.0,121.22,58.5,40.406666666666666
28019.0,56876.0,2.0,30.23,2.5,15.115
28019.0,49843.0,2.0,52.81,13.0,10.562000000000001
28019.0,31812.0,3.0,59.41,1.6666666666666667,59.41
31812.0,49843.0,2.0,52.04,2.5,26.02
31812.0,65501.0,5.0,59.2,4.6,19.733333333333334
65501.0,65695.0,7.0,103.41,24.714285714285715,34.47
65695.0,48094.0,3.0,13.15,28.0,1.0958333333333334
48094.0,24883.0,7.0,85.15,5.714285714285714,42.575
24883.0,92.0,4.0,166.95,135.75,333.9
24883.0,84463.0,1.0,85.09,89.0,0.9560674157303372
84463.0,92.0,4.0,162.42,2.25,162.42
84463.0,99.0,7.0,136.11,2.142857142857143,272.22
84463.0,22.0,5.0,194.84,4.0,97.42
99.0,22.0,1.0,64.39,6.0,10.731666666666667
84463.0,120.0,1.0,108.73,8.0,13.59125
120.0,16010.0,3.0,45.13,2.3333333333333335,90.26
16010.0,22.0,4.0,101.51,4.0,203.02
16010.0,84.0,2.0,51.58,1.5,103.16
16010.0,92.0,2.0,176.28,1.5,352.56
16010.0,65501.0,1.0,73.82,56638.0,0.0013033652318231576
95.0,37314.0,1.0,26.44,14320.0,0.001846368715083799
37314.0,92.0,6.0,150.18,12.833333333333334,30.036
37314.0,13.0,5.0,49.67,24.4,12.4175
13.0,5.0,1.0,114.24,0.0,228.48
5.0,37314.0,4.0,64.81,261.5,16.2025
37314.0,99.0,1.0,121.72,1.0,121.72
99.0,5.0,1.0,59.06,3.0,19.686666666666667
57897.0,101.0,2.0,31.24,6.5,10.413333333333332
57897.0,99.0,1.0,101.92,37.0,2.7545945945945944
99.0,120.0,1.0,40.56,4.0,10.14
120.0,22.0,1.0,86.98,1.0,86.98
22.0,49.0,1.0,190.46,68440.0,0.002782875511396844
95.0,88.0,6.0,53.3,1835.8333333333333,53.3
95.0,5.0,4.0,39.38,16877.75,9.845
95.0,49.0,4.0,55.08,673.0,5.508
49.0,88.0,1.0,82.73,9.0,9.192222222222222
49.0,5.0,1.0,73.03,2.0,36.515
5.0,88.0,1.0,91.38,6.0,15.229999999999999
25183.0,88.0,6.0,74.79,323.3333333333333,37.395
88.0,92.0,2.0,149.17,1695.0,0.2203397341211226
88.0,95.0,2.0,53.3,559.5,53.3
25183.0,99.0,4.0,83.52,2.5,41.76
25183.0,95.0,2.0,22.22,7680.5,4.444
25183.0,92.0,3.0,170.48,36.0,85.24
25183.0,30706.0,5.0,57.07,7.2,57.07
30706.0,92.0,2.0,163.55,13.0,16.355
30706.0,76063.0,3.0,51.35,3.0,51.35
76063.0,92.0,5.0,183.61,2.2,91.805
25183.0,76063.0,1.0,17.72,8.0,2.215
76063.0,72617.0,1.0,19.42,27.0,0.7192592592592594
72617.0,92.0,8.0,181.05,2.5,362.1
72617.0,30706.0,2.0,67.19,4.0,67.19
72617.0,49.0,1.0,46.82,56250.0,0.0008323555555555556
49.0,5.0,1.0,73.03,175.0,0.4173142857142857
120.0,52934.0,1.0,60.21,275.0,0.21894545454545455
52934.0,93772.0,3.0,28.86,11215.333333333334,0.03738341968911917
93772.0,99.0,1.0,21.73,2023.0,0.01074147305981216
99.0,7315.0,1.0,19.61,862.0,0.02274941995359629
7315.0,93772.0,1.0,17.49,612.0,0.028578431372549017
52934.0,7315.0,2.0,43.05,78.0,7.175
52934.0,5.0,8.0,89.59,3.125,179.18
26761.0,86688.0,1.0,48.08,2925.0,0.01643760683760684
86688.0,95.0,2.0,12.03,1512.5,24.06
86688.0,5.0,2.0,41.88,5.0,13.96
86688.0,99.0,5.0,97.63,1463.0,19.526
99.0,22.0,1.0,64.39,5.0,12.878
22.0,86688.0,3.0,155.2,1626.6666666666667,51.73333333333333
86688.0,120.0,3.0,69.08,128.33333333333334,1.1910344827586206
120.0,26761.0,5.0,34.38,54.4,8.595
26761.0,5.0,2.0,10.22,58.5,0.63875
95.0,5.0,4.0,39.38,371.25,1.8752380952380954
95.0,84.0,6.0,76.73,342.6666666666667,12.788333333333334
84.0,5.0,2.0,58.5,6.5,58.5
95.0,28846.0,1.0,93.33,5.0,18.666
28846.0,99.0,2.0,4.53,612.0,0.41181818181818186
