wifi_a,wifi_b,count,distance,meanTime,maxSpeed
95.0,5.0,460.0,39.38,4.934782608695652,78.76
5.0,22.0,1123.0,121.22,3.4568121104185217,121.22
22.0,101.0,399.0,174.47,1.2205513784461153,348.94
101.0,88.0,259.0,132.74,2.741312741312741,265.48
95.0,99.0,1535.0,97.82,2.0462540716612376,195.64
99.0,32.0,113.0,27.73,0.9203539823008849,55.46
32.0,5.0,73.0,48.84,3.0136986301369864,97.68
22.0,88.0,860.0,202.54,2.6069767441860465,405.08
99.0,5.0,1407.0,59.06,2.9431414356787493,118.12
32.0,88.0,79.0,140.16,1.4936708860759493,280.32
5.0,101.0,217.0,82.63,1.9216589861751152,165.26
5.0,88.0,134.0,91.38,5.843283582089552,182.76
22.0,95.0,754.0,157.9,4.396551724137931,315.8
95.0,32.0,187.0,87.51,1.6844919786096257,175.02
88.0,99.0,76.0,147.2,3.1315789473684212,294.4
101.0,95.0,71.0,90.35,3.3943661971830985,180.7
5.0,84.0,989.0,58.5,0.840242669362993,117.0
84.0,101.0,87.0,29.03,116.2183908045977,58.06
84.0,22.0,631.0,146.05,32.09350237717908,292.1
22.0,13.0,23.0,223.94,1.565217391304348,447.88
13.0,88.0,12.0,22.87,2.5833333333333335,45.74
99.0,22.0,47.0,64.39,5.404255319148936,128.78
99.0,101.0,33.0,113.35,3.4545454545454546,113.35
5.0,33.0,18.0,114.67,0.7222222222222222,229.34
33.0,22.0,10.0,24.53,3.2,24.53
101.0,13.0,8.0,151.73,0.75,303.46
5.0,13.0,15.0,114.24,1.4,228.48
84.0,88.0,25.0,126.06,5.32,126.06
5.0,49.0,48.0,73.03,1.6458333333333333,146.06
49.0,22.0,7.0,190.46,5.714285714285714,63.48666666666667
99.0,49.0,49.0,126.11,1.2448979591836735,252.22
99.0,120.0,1.0,40.56,1.0,40.56
120.0,5.0,2.0,44.14,1.5,44.14
49.0,84.0,9.0,60.58,2.888888888888889,60.58
99.0,84.0,207.0,84.36,2.971014492753623,168.72
99.0,33.0,6.0,55.62,2.3333333333333335,55.62
13.0,95.0,5.0,76.05,5.2,19.0125
88.0,120.0,1.0,115.57,1.0,115.57
120.0,95.0,1.0,73.6,1.0,73.6
95.0,84.0,165.0,76.73,5.248484848484848,153.46
84.0,13.0,12.0,147.24,1.0,294.48
32.0,84.0,11.0,57.42,3.5454545454545454,28.71
95.0,49.0,30.0,55.08,2.433333333333333,55.08
22.0,32.0,152.0,88.88,2.1315789473684212,177.76
101.0,32.0,29.0,86.22,2.1724137931034484,86.22
33.0,84.0,10.0,130.17,0.5,260.34
49.0,33.0,1.0,179.48,2.0,89.74
120.0,101.0,1.0,122.42,1.0,122.42
95.0,33.0,3.0,153.3,4.0,38.325
33.0,101.0,3.0,157.67,0.6666666666666666,315.34
99.0,13.0,2.0,169.72,3.0,56.57333333333333
49.0,101.0,1.0,54.17,3.0,18.05666666666667
33.0,88.0,1.0,201.51,6.0,33.585
13.0,32.0,1.0,163.03,1.0,163.03
49.0,32.0,1.0,104.89,5.0,20.978
88.0,95.0,253.0,53.3,2.822134387351779,106.6
95.0,5.0,1766.0,39.38,6.967157417893545,78.76
5.0,22.0,499.0,121.22,4.4509018036072145,60.61
22.0,88.0,49.0,202.54,2.7346938775510203,202.54
22.0,95.0,501.0,157.9,70.9500998003992,315.8
5.0,99.0,821.0,59.06,3.5188794153471377,118.12
22.0,99.0,35.0,64.39,6.714285714285714,64.39
5.0,88.0,150.0,91.38,7.1466666666666665,18.276
95.0,99.0,878.0,97.82,3.2528473804100226,195.64
99.0,88.0,27.0,147.2,6.814814814814815,147.2
5.0,13.0,7.0,114.24,0.8571428571428571,228.48
13.0,22.0,8.0,223.94,2.375,111.97
95.0,13.0,4.0,76.05,5.75,15.209999999999999
13.0,99.0,1.0,169.72,11.0,15.42909090909091
95.0,5.0,154.0,39.38,11.597402597402597,39.38
5.0,88.0,1.0,91.38,6.0,15.229999999999999
88.0,95.0,3.0,53.3,4.666666666666667,53.3
95.0,49.0,3.0,55.08,4.666666666666667,55.08
49.0,5.0,1.0,73.03,4.0,18.2575
95.0,5.0,78.0,39.38,62.76923076923077,9.845
