wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
15079,334.0,128.0,92:5,1_virtual,349.636582,164.698011,39820:92877:91849:18881:69768:78707:21464:6278:25910:25273:95519:61243:,1
60450,233.0,153.0,105:95,1_virtual,233.021946,153.415407,13613:64876:67350:12831:82514:31432:88309:1438:28847:94750:14038:41621:89705:12578:25613:1338:61322:76084:10520:14993:62366:56464:61760:69377:31069:35251:26288:25520:12639:35367:32827:98032:46598:25204:68780:65111:78558:86507:23754:11395:13916:63803:73369:65866:96149:92706:39690:78985:77440:52467:91604:90810:32645:94391:71703:32567:72276:73567:79723:30827:40300:75084:40585:60582:5154:11555:83834:17914:98894:30489:89843:20515:79929:80717:89048:61263:20659:57962:37171:59891:48948:36423:5504:11723:66803:44213:40121:94895:18320:33306:54770:39655:85074:21024:55145:33729:29983:57246:,1
60378,252.0,193.0,33:49,1_virtual,253.234912,196.646599,50447:49725:67576:19326:56755:56755:85775:66460:,1
2894,215.0,145.0,105:5,1_virtual,210.584473,143.939215,84838:89340:5621:10759:39354:6861:24974:2722:,1
72780,285.0,241.0,49:5:101,1_virtual,284.216445,236.64476,46955:29990:71731:16508:32174:80286:57640:,1
45395,256.0,202.0,49:84:22,1_virtual,253.078613,204.7059,4446:54703:9305:80507:54698:66009:,1
20601,296.0,183.0,120:5:95,1_virtual,298.542306,180.289302,69881:73376:59104:27911:27505:10573:14460:33719:13047:10463:85589:75537:12908:53401:99779:12908:22959:,1
51952,224.0,156.0,32:33:99,1_virtual,220.826276,151.866765,13397:89463:3941:73172:89463:90160:13608:2484:16866:49755:12598:17819:54307:91746:47791:30350:,1
25121,226.0,126.0,120:33:22,1_virtual,231.048222,125.269662,64291:87123:93687:85006:59226:41018:83579:85899:11790:27148:95347:71785:81487:62643:52678:23612:93969:98314:61246:90674:92855:10382:97884:70281:7953:74769:77055:97643:43714:45275:16850:89250:19247:29376:55260:45456:33001:16850:,1
75205,257.0,148.0,120:5:22,1_virtual,259.065212,147.523883,10978:18269:63962:12504:60804:78494:12883:24790:61015:17131:99206:7070:58372:67733:50760:36339:73718:31745:37884:17936:65955:12731:25172:69532:18964:,1
15762,284.0,266.0,49:101,1_virtual,286.372605,264.865213,N,1
58826,327.0,177.0,88:13:22,1_virtual,340.699551,181.671941,81207:21367:12738:17048:98353:,1
21444,253.0,156.0,120:33:5,1_virtual,250.836714,157.262675,89293:70978:60522:98932:4438:45524:16685:91608:85722:78185:89363:36198:99223:41134:26431:44097:39153:21088:19432:3955:76942:97823:82207:92915:58453:62786:2299:78534:85692:14739:73576:68854:66098:40310:14751:62194:46215:4976:50220:80703:10449:34854:61466:69008:38967:76300:59692:55595:29737:95258:78346:86720:70739:43174:62230:18377:2832:62093:83755:57709:22372:20284:40116:14020:95445:62515:79653:31274:40261:92750:6369:,1
