path,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
105->101,142.814:97.329,155.794:103.027,172.199:111.308,185.207:118.610,194.916:125.425,197.616:127.354,213.369:138.991,222.971:147.010,233.022:153.415,239.844:158.207,244.948:162.321,253.540:169.247,263.170:177.010,273.541:183.542,287.395:193.229,295.831:199.530,292.873:204.894,288.446:211.872,285.440:216.278,281.103:222.601,276.312:228.590,272.979:230.361,267.250:233.225,259.282:236.454,254.126:241.349,246.002:247.443,244.804:252.182,245.377:255.931,252.303:260.983,256.991:265.618,257.355:270.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105->11881,142.814:97.329,155.794:103.027,172.199:111.308,185.207:118.610,194.916:125.425,197.616:127.354,213.369:138.991,222.971:147.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105->120,142.814:97.329,155.794:103.027,172.199:111.308,185.207:118.610,194.916:125.425,197.616:127.354,213.369:138.991,222.971:147.010,233.022:153.415,239.844:158.207,244.948:162.321,250.837:157.263,256.201:151.742,259.065:147.524,262.142:140.680,269.223:140.680,273.596:142.477,278.802:146.350,279.519:149.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105->13,142.814:97.329,155.794:103.027,172.199:111.308,185.207:118.610,194.916:125.425,197.616:127.354,213.369:138.991,222.971:147.010,233.022:153.415,239.844:158.207,244.948:162.321,253.540:169.247,263.170:177.010,273.541:183.542,287.395:193.229,295.831:199.530,309.789:205.728,323.589:208.748,335.464:209.478,341.921:209.634,347.233:210.050,362.972:211.453,376.773:212.234,389.688:214.526,399.251:216.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105->13161,142.814:97.329,155.794:103.027,172.199:111.308,185.207:118.610,194.916:125.425,197.616:127.354,213.369:138.991,222.971:147.010,233.022:153.415,239.844:158.207,244.948:162.321,253.540:169.247,263.170:177.010,273.541:183.542,266.015:190.376,259.506:196.964,261.770:199.201,264.577:200.838,265.934:202.619,268.562:205.911,271.617:208.929,273.745:211.032,271.999:212.799,269.603:216.159,267.406:218.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105->13568,142.814:97.329,155.794:103.027,172.199:111.308,185.207:118.610,194.916:125.425,197.616:127.354,213.369:138.991,216.992:130.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105->13702,142.814:97.329,155.794:103.027,172.199:111.308,185.207:118.610,194.916:125.425,197.616:127.354,213.369:138.991,222.971:147.010,233.022:153.415,239.844:158.207,244.948:162.321,253.540:169.247,263.170:177.010,273.541:183.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105->14185,142.814:97.329,155.794:103.027,172.199:111.308,185.207:118.610,194.916:125.425,197.616:127.354,213.369:138.991,222.971:147.010,233.022:153.415,239.844:158.207,244.948:162.321,253.540:169.247,263.170:177.010,273.541:183.542,287.395:193.229,295.831:199.530,299.242:195.278,302.353:188.697,304.946:184.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105->14382,142.814:97.329,155.794:103.027,172.199:111.308,185.207:118.610,194.916:125.425,197.616:127.354,195.119:131.075,192.341:136.632,189.811:140.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105->19,142.814:97.329,147.227:87.002,149.967:78.863,143.639:73.379,135.818:65.494,132.016:63.775,126.340:58.359,121.601:55.651,112.643:49.610,102.488:48.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
