wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
5697,209.0,141.0,105:65115,3_virtual,211.594265,141.393216,N,1
23868,294.0,242.0,49:31837,4_virtual,294.611438,242.966861,6730:,1
48579,246.0,187.0,15680:23355,4_virtual,240.375874,190.296456,86514:1933:97082:69225:70392:44679:,1
40390,257.0,211.0,84:96821,4_virtual,257.143707,211.297404,N,1
19956,209.0,157.0,105:34213,4_virtual,208.319458,157.283104,72929:14440:28504:77005:,1
33924,278.0,128.0,38360:31646,4_virtual,273.595503,142.476988,N,1
23015,293.0,138.0,38360:88201,4_virtual,278.801649,146.349755,3927:52288:81275:,1
14226,319.0,108.0,92:75510,4_virtual,367.823512,93.376079,N,1
90105,260.0,143.0,120:12847,4_virtual,262.142103,140.679926,86965:,1
49745,332.0,116.0,92:25855,4_virtual,372.903625,107.028884,67103:,1
52728,269.0,142.0,4294:22,5_virtual,269.222541,140.679926,N,1
76952,252.0,119.0,105:22364,5_virtual,243.600032,117.70873,85024:79872:,1
57969,188.0,134.0,105:8842,8_virtual,192.340638,136.631575,N,1
85974,221.0,165.0,38366:88046,9_virtual,217.627093,164.496124,N,1
